communityname,state,lat,lng
BerkeleyHeightstownship,NJ,40.6834349,-74.442653
Marpletownship,PA,39.9776109,-75.378526
Tigardcity,OR,45.4307473,-122.7719339
Gloversvillecity,NY,43.0528133,-74.34369
Bemidjicity,MN,47.4785418,-94.8907869
Springfieldcity,MO,37.2166779,-93.2920373
Norwoodtown,MA,42.194543,-71.1994976
Andersoncity,IN,40.1053196,-85.6802541
Fargocity,ND,46.877229,-96.789821
Wacocity,TX,31.549333,-97.1466695
Shermancity,TX,36.2452294,-101.8858689
SanPablocity,CA,37.9621457,-122.3455263
BowlingGreencity,KY,36.9903199,-86.4436018
PineBluffcity,AR,34.2157064,-92.0140402
NewUlmcity,MN,44.3140261,-94.4614177
Maplewoodcity,MN,44.9533351,-92.9953373
Enfieldtown,CT,41.9789387,-72.5755109
Glendalecity,CA,51.034096,-114.1522951
Worthingtoncity,OH,40.0930945,-83.0179593
Arlingtoncity,TX,32.701939,-97.1056248
Plymouthcity,MN,45.0065149,-93.46651
NewYorkcity,NY,40.7127281,-74.0060152
Marinacity,CA,56.5,-119.2
Lebanoncity,NH,43.643032,-72.251587
Rockledgecity,FL,28.3137515,-80.7242189
Rogerscity,AR,-51.6404112,-69.2210904
Bellairecity,TX,29.7057858,-95.4588299
ElCajoncity,CA,32.7947731,-116.9625269
MosesLakecity,WA,47.1301417,-119.2780771
WestMemphiscity,AR,35.1464797,-90.1845388
Eunicecity,LA,30.4943669,-92.4176324
Laredocity,TX,27.5199841,-99.4953764
Amsterdamcity,NY,42.943367,-74.1850436
Gorhamtown,ME,43.6796943,-70.4429342
RockSpringscity,WY,41.5869225,-109.2047867
Oakdalecity,CA,42.7087245,-82.0390861
Hendersoncity,NC,36.3295905,-78.3991638
Norcocity,CA,33.9323307,-117.5508901
Greenvillecity,MS,33.4000633,-91.0551312
SanCarloscity,CA,37.504936,-122.2618236
SanAngelocity,TX,31.4648357,-100.4398442
Barbertoncity,OH,41.012833,-81.6051221
Pontiaccity,MI,42.6389216,-83.2910468
Suffolkcity,VA,36.7462895,-76.6111382
Martinsvillecity,VA,36.6915262,-79.8725386
Bricktownship,NJ,40.0707244,-74.1280562
LagunaBeachcity,CA,53.4453765,-113.4029124
Robstowncity,TX,29.9291098,-95.7168154
Wyomingcity,MI,42.9132581,-85.7057035
Hastingscity,MN,44.7426933,-92.8518697
Paragouldcity,AR,36.0584021,-90.4973286
BeverlyHillscity,CA,53.5593481,-113.0314111
UniversityHeightscity,OH,41.497831,-81.537346
Marioncity,OH,40.5885271,-83.1895249
Toledocity,OH,41.6786754,-83.5127283
Philadelphiacity,PA,39.9527237,-75.1635262
Newtoncity,MA,42.3370414,-71.2092214
